bench,mode,threads,trials,duration_ms,execute,elements,ops,bmname,tx_per_s,tx_per_s_mean,tx_per_s_sd,tx_per_s_min,tx_per_s_max,cv_pct,ns_per_tx,commits,aborts,writer_commits,abort_pct,aborts_per_commit,writer_pct,p50_ns,p99_ns,p999_ns,max_ns,sample_stride,timer_ns,sampling_ns_per_tx,sampling_pct,imbalance_pct,user_ns,sys_ns,sys_pct,vol_cs,invol_cs,invol_cs_per_ktx,minflt,majflt,maxrss_kb,verified
counter,ala,1,3,200,0,256,1,Counter,103934623.1852,103981901.9606,106941.1060,103906748.9487,104104333.7478,0.1028,9.6214,20803708,0,20803708,0.0000,0.0000,100.0000,4,4,10,6390,64,15,0.4688,4.8719,0.0000,199852000,989000,0.4924,1,9,0.0004,2,0,8800,ok
counter,ala,2,3,200,0,256,1,Counter,62165139.0859,62139921.1002,152719.8115,61976161.9148,62278462.3000,0.2458,32.1724,12441812,6605888,12441812,34.6808,0.5309,100.0000,127,855,1335,5369,64,9,0.2813,0.8742,0.9677,399590000,0,0.0000,1,6,0.0005,0,0,8800,ok
counter,ala,4,3,200,0,256,1,Counter,16740462.7392,16747821.1646,107758.5158,16643930.4563,16859070.2984,0.6434,238.9420,3349715,1793504,3349715,34.8712,0.5354,100.0000,67,4855,8695,15823,64,9,0.2813,0.1177,47.5713,799306000,0,0.0000,1,1,0.0003,0,0,8800,ok
counter,ala,8,3,200,0,256,1,Counter,9766815.0564,9773754.5968,69574.0988,9707910.3187,9846538.4155,0.7118,819.1002,1954633,1340903,1954633,40.6885,0.6860,100.0000,58,13766,31686,72433,64,58,1.8125,0.2213,86.8969,1598556000,0,0.0000,1,0,0.0000,0,0,8800,ok
counter,ala,16,3,200,0,256,1,Counter,6035197.3517,6027605.7915,24723.0474,5999977.1511,6047642.8717,0.4102,2651.1146,1207989,1419767,1207989,54.0296,1.1753,100.0000,185,38897,69617,118092,64,15,0.4688,0.0177,84.6195,3197284000,0,0.0000,1,5,0.0041,0,0,8800,ok
counter,ala,24,3,200,0,256,1,Counter,4658462.7309,4650603.8218,14786.8926,4633546.9015,4659801.8329,0.3180,5151.9141,932742,1336143,932742,58.8899,1.4325,100.0000,263,221175,688119,1234862,64,9,0.2813,0.0055,94.6758,4775910000,0,0.0000,3,403,0.4321,0,0,12532,ok
rn-w1-hot,ala,1,3,200,0,256,16,ReadNWrite1,25377442.9219,25380986.2556,11954.0102,25371204.4836,25394311.3613,0.0471,39.4051,5076952,0,5076952,0.0000,0.0000,100.0000,37,41,67,1146,64,9,0.2813,0.7137,0.0000,199860000,0,0.0000,1,1,0.0002,0,0,12532,ok
rn-w1-hot,ala,2,3,200,0,256,16,ReadNWrite1,19757172.7831,19754965.6057,4671.5466,19749599.4329,19758124.6012,0.0236,101.2291,3952671,163922,3952671,3.9820,0.0415,100.0000,97,205,293,1482,64,11,0.3438,0.3396,0.0335,399556000,0,0.0000,1,2,0.0005,0,0,12532,ok
rn-w1-hot,ala,4,3,200,0,256,16,ReadNWrite1,8653567.4281,8653478.3606,3353.9098,8650080.8041,8656786.8495,0.0388,462.2371,1731879,235755,1731879,11.9816,0.1361,100.0000,423,1591,2679,4422,64,9,0.2813,0.0608,37.6324,799308000,0,0.0000,1,0,0.0000,0,0,12532,ok
rn-w1-hot,ala,8,3,200,0,256,16,ReadNWrite1,5434841.9745,5447221.0752,58550.0360,5395850.4387,5510970.8125,1.0749,1471.9839,1087635,344348,1087635,24.0469,0.3166,100.0000,1207,7927,13815,20880,64,9,0.2813,0.0191,62.1136,1606543000,0,0.0000,1,8,0.0074,0,0,12532,ok
